2024-06-09 20:33:22,176	lasttry	INFO	{'train': {'log_interval': 200, 'eval_interval': 1000, 'seed': 1234, 'epochs': 10000, 'learning_rate': 0.0002, 'betas': [0.8, 0.99], 'eps': 1e-09, 'batch_size': 32, 'fp16_run': True, 'lr_decay': 0.999875, 'segment_size': 8192, 'init_lr_ratio': 1, 'warmup_epochs': 0, 'c_mel': 45, 'c_kl': 1.0}, 'data': {'training_files': 'filelists/fox_train_filelist.txt.cleaned', 'validation_files': 'filelists/fox_val_filelist.txt.cleaned', 'text_cleaners': ['korean_cleaners'], 'max_wav_value': 32768.0, 'sampling_rate': 22050, 'filter_length': 1024, 'hop_length': 256, 'win_length': 1024, 'n_mel_channels': 80, 'mel_fmin': 0.0, 'mel_fmax': None, 'add_blank': True, 'n_speakers': 6, 'cleaned_text': True}, 'model': {'inter_channels': 192, 'hidden_channels': 192, 'filter_channels': 768, 'n_heads': 2, 'n_layers': 6, 'kernel_size': 3, 'p_dropout': 0.1, 'resblock': '1', 'resblock_kernel_sizes': [3, 7, 11], 'resblock_dilation_sizes': [[1, 3, 5], [1, 3, 5], [1, 3, 5]], 'upsample_rates': [8, 8, 2, 2], 'upsample_initial_channel': 512, 'upsample_kernel_sizes': [16, 16, 4, 4], 'n_layers_q': 3, 'use_spectral_norm': False, 'gin_channels': 256}, 'speakers': ['수아', '미미르', '아린', '연화', '유화', '선배'], 'symbols': ['_', ',', '.', '!', '?', '…', '~', 'ㄱ', 'ㄴ', 'ㄷ', 'ㄹ', 'ㅁ', 'ㅂ', 'ㅅ', 'ㅇ', 'ㅈ', 'ㅊ', 'ㅋ', 'ㅌ', 'ㅍ', 'ㅎ', 'ㄲ', 'ㄸ', 'ㅃ', 'ㅆ', 'ㅉ', 'ㅏ', 'ㅓ', 'ㅗ', 'ㅜ', 'ㅡ', 'ㅣ', 'ㅐ', 'ㅔ', ' '], 'model_dir': 'checkpoints\\./lasttry'}
2024-06-09 20:33:49,095	lasttry	INFO	Train Epoch: 1 [0%]
2024-06-09 20:33:49,096	lasttry	INFO	[6.002836227416992, 6.001434326171875, 0.4502248466014862, 98.234619140625, 4.7356767654418945, 158.26185607910156, 0, 0.0002]
2024-06-09 20:34:06,675	lasttry	INFO	Saving model and optimizer state at iteration 1 to checkpoints\./lasttry\G_0.pth
2024-06-09 20:34:06,959	lasttry	INFO	Saving model and optimizer state at iteration 1 to checkpoints\./lasttry\D_0.pth
2024-06-09 21:06:59,873	lasttry	INFO	{'train': {'log_interval': 200, 'eval_interval': 1000, 'seed': 1234, 'epochs': 10000, 'learning_rate': 0.0002, 'betas': [0.8, 0.99], 'eps': 1e-09, 'batch_size': 32, 'fp16_run': True, 'lr_decay': 0.999875, 'segment_size': 8192, 'init_lr_ratio': 1, 'warmup_epochs': 0, 'c_mel': 45, 'c_kl': 1.0}, 'data': {'training_files': 'filelists/fox_train_filelist.txt.cleaned', 'validation_files': 'filelists/fox_val_filelist.txt.cleaned', 'text_cleaners': ['korean_cleaners'], 'max_wav_value': 32768.0, 'sampling_rate': 22050, 'filter_length': 1024, 'hop_length': 256, 'win_length': 1024, 'n_mel_channels': 80, 'mel_fmin': 0.0, 'mel_fmax': None, 'add_blank': True, 'n_speakers': 6, 'cleaned_text': True}, 'model': {'inter_channels': 192, 'hidden_channels': 192, 'filter_channels': 768, 'n_heads': 2, 'n_layers': 6, 'kernel_size': 3, 'p_dropout': 0.1, 'resblock': '1', 'resblock_kernel_sizes': [3, 7, 11], 'resblock_dilation_sizes': [[1, 3, 5], [1, 3, 5], [1, 3, 5]], 'upsample_rates': [8, 8, 2, 2], 'upsample_initial_channel': 512, 'upsample_kernel_sizes': [16, 16, 4, 4], 'n_layers_q': 3, 'use_spectral_norm': False, 'gin_channels': 256}, 'speakers': ['수아', '미미르', '아린', '연화', '유화', '선배'], 'symbols': ['_', ',', '.', '!', '?', '…', '~', 'ㄱ', 'ㄴ', 'ㄷ', 'ㄹ', 'ㅁ', 'ㅂ', 'ㅅ', 'ㅇ', 'ㅈ', 'ㅊ', 'ㅋ', 'ㅌ', 'ㅍ', 'ㅎ', 'ㄲ', 'ㄸ', 'ㅃ', 'ㅆ', 'ㅉ', 'ㅏ', 'ㅓ', 'ㅗ', 'ㅜ', 'ㅡ', 'ㅣ', 'ㅐ', 'ㅔ', ' '], 'model_dir': 'checkpoints\\./lasttry'}
2024-06-09 21:07:01,393	lasttry	INFO	Loaded checkpoint 'checkpoints\./lasttry\G_0.pth' (iteration 1)
2024-06-09 21:07:01,482	lasttry	INFO	Loaded checkpoint 'checkpoints\./lasttry\D_0.pth' (iteration 1)
2024-06-09 21:07:24,913	lasttry	INFO	Train Epoch: 1 [0%]
2024-06-09 21:07:24,914	lasttry	INFO	[6.002836227416992, 6.001434326171875, 0.4502248764038086, 98.23458862304688, 4.7356767654418945, 158.2599334716797, 0, 0.0002]
2024-06-09 21:07:42,291	lasttry	INFO	Saving model and optimizer state at iteration 1 to checkpoints\./lasttry\G_0.pth
2024-06-09 21:07:42,477	lasttry	INFO	Saving model and optimizer state at iteration 1 to checkpoints\./lasttry\D_0.pth
